node1,node2,weight
kenya,patterns,6
short-term-memory,humanbrain,2
immunologicalsynapse,plasma-membrane,4
riskfactors,survival,2
beta-diversity,costa-rica,2
tidalflats,sediments,2
"diagrams,andlinearextensions",metrics,2
cell-culture,membrane-proteins,2
phases,precipitation,2
communitystructure,disturbance,2
transmission,discrimination,2
north,biodiversity,2
bottom-up,regeneration,2
generation,surgery,2
recombination,coatprotein,2
hongkong,metals,2
pollen,lake-sediments,4
systems,satellite,6
principal,reconstruction,2
spatial,nutrientmanagement,2
betadiversity,beta-diversity,8
wildlife,localspatialautocorrelation,4
markov,statistical-methods,2
noise,neurons,2
adhesion,metastasis,2
westernnorthpacific,intensity,2
kenya,systems,2
frontal-cortex,diffusion,2
predator,habitat,2
hindbrainsegmentation,fish,2
k+channel,potassium,4
alzheimers-disease,networks,2
acousticemission,recurrence,2
imaging,projections,2
mortality,tests,2
mesoscale,systems,2
moleculardynamics,silicon,2
cascadehypothesis,protein,2
massmortality,disturbance,2
clusters,parameterization,4
recruitment,plants,2
organization,cortex,8
spatio-temporalanalysis,streamflow,2
bodysize,scale,2
patternrecognition,rates,2
coevolution,association,4
nervous-system,melanogaster,2
establishment,mouse,2
aphids,predators,2
reflectance,photosynthesis,2
nitrification,community,4
soil-moisture,stress,4
aerosol,evolution,2
statistics,number,2
morphometry,times,2
boundary-layer,magnetosphere,2
risk,populations,2
outbreaks,thematicclassificationaccuracy,2
superoxidedismutase,cell-death,2
iran,japan,2
intensityfunction,network,2
catvisual-cortex,organization,2
cell-membranes,activation,4
system,mesoscale,2
modis,identification,2
stand,model,2
receptortyrosinekinase,development,4
clustering,transmission,14
crime,cancer,2
depth,river,2
nuclearmatrix,chromatin,2
multi-spacecraftobservations,association,2
benthicmacroinvertebrates,india,2
westnilevirus,vectors,4
development,action-potentialinitiation,2
multiscalefragmentationprofiles,indicatorgeostatistics,2
properties,stimulation,2
clustering,exploration,2
drosophilahomeoticgenes,binding-sites,2
bitingmidges,habitats,2
markovrandomfields,mri,2
epidemiology,england,6
iceland,emplacement,2
distributions,particles,2
neurofibrillarytangles,deposits,2
inundation,evolution,2
transients,algorithm,2
medialtemporal-lobe,tracking,2
dna-sequences,southerncalifornia,2
temporalvariation,self-organizingmap,2
nitrogen,bacteria,4
great-barrier-reef,evolution,2
reflectance,phytoplankton,2
dynamics,fields,2
prey,ecosystem,2
taiwan,infectious-disease,2
iberianpeninsula,ecology,2
consequences,sequence,2
projection,deposits,2
environmental,climate,2
hemispherewinter,convection,2
gis,information-systems,2
weatherregimes,climatevariability,2
hydrodynamics,river,2
auditoryoddballtask,schizophrenia,2
patterns,rupture,2
pelagicfish,clusters,2
veterinaryepidemiology,size,2
saccharomyces-cerevisiae,establishment,4
fmridata,fusion,2
boundary-layer,cumulus,2
puerto-rico,infections,2
principal,temporalvariations,2
tuberoussclerosis,epilepsysurgery,2
intervals,speech,2
reserveselection,spatialecology,2
taiwan,health,4
extremerainfall,temperature,2
hotspots,kenya,2
neuronalsynchronization,in-vivo,2
southernspain,river,2
salt-marsh,carbon,2
dynamics:seismotectonics,fault,2
uncertainty,california,2
mri,spatialnormalization,4
mosquito,transmission,2
multivariate-analysis,conservation,2
statistical,visualizationandcommunication,2
schizophrenia,humanbrain,2
heavy-metalpollution,romania,2
spatialpattern-analysis,connections,2
dataanalysis,temporaldynamics,2
establishment,cytoskeleton,2
japan,motor-neurondisease,2
cerebralcortex,neurodegenerativedisorders,2
hedgehog,development,2
image,artifacts,2
satellitedata,time-series,6
ecuador,fever,2
amygdala,fmri,4
snowwaterequivalent,streamflow,4
drosophila,generation,2
microsatellite,reproductivesuccess,2
short-term,catalogs,2
circulation,variability,30
phosphorylation,system,2
spatialvariability,transport,2
united-states,circulation,10
antarctica,system,2
gps,epidemiology,2
spatial,oregon,2
hemorrhagic-fever,transmission,12
temporal,frequencies,2
hierarchical,nonmetric,2
superiortemporalsulcus,positron-emission-tomography,2
16sribosomal-rna,environmental-factors,2
japan,himalaya,2
dataclustering,functionalconnectivity,2
waterpollution,yangtze-river,2
synapse,real-time,2
habitatfragmentation,maximum-likelihood-estimation,4
small-worldnetworks,impairment,2
sediment,environment,2
polychlorinated-biphenyls,environment,2
migration,productivity,4
self-assembledmonolayers,in-vitro,2
hongkong,long-term,4
saccharomyces-cerevisiae,negativefeedback,2
groundwater,vegetation,2
heavymetals,geochemistry,4
risk-factors,framework,2
chemtax,stratification,2
model,prion,2
dopamine,parkinsons-disease,2
socialvulnerability,losses,4
river,speciation,2
ocean,sea,2
redknots,ecology,2
spain,finland,2
china,temporalanalysis,2
moran'si,patterns,2
chile,interannualvariability,2
video,sequences,4
environmentalsounds,natural,2
neuralnetwork,algorithm,2
cluster-analysis,health,2
hippocampus,pyramidalneurons,2
vulnerability,europe,2
toxicity,sediments,4
progressivesupranuclearpalsy,uncinatefasciculus,2
opticalimaging,fmri,2
channel,dispersion,2
plasmasphere,magnetospheric,2
spatialspread,simulation-model,2
patterns,speciesinteractions,4
waterquality,sediment,4
functional-organization,cat,2
astrocytoma,spatialscanstatistic,2
imagingdata,activation,2
reproduction,heterogeneity,2
anterior,bipolardisorder,2
medialfrontal-cortex,functionalconnectivity,2
change,distributions,2
climatevariability,statistical-analysis,2
statistics,motions,2
population-dynamics,degradation,2
magmatism,field,2
complex,dna,6
spatialvariation,genetic,2
migration,mammals,8
physiology,distribution,2
cortex,architecture,6
self-organizedcriticality,cortex,2
